user_id,apartment_id,viewed_at,is_wishlisted,call_to_action
5353,180678,2023-01-23,False,Reported
8341,12140,2021-05-14,True,Reported
5517,72896,2023-06-27,True,Contact Agent
1710,19727,2022-10-15,True,Shortlisted
896,44550,2020-02-06,False,Reported
7210,157092,2023-07-03,True,Reported
2063,135236,2021-01-17,False,Shortlisted
5993,35189,2024-12-23,False,Contact Agent
2681,79428,2022-02-10,True,Reported
5970,150952,2020-08-10,False,Contact Agent
2530,12676,2022-05-07,True,Reported
2238,11837,2022-12-11,False,Reported
5775,20642,2020-10-15,False,Contact Agent
5799,31524,2022-12-06,False,Contact Agent
6642,188431,2022-12-16,False,Contact Agent
4428,15999,2024-12-05,False,Reported
2046,36141,2020-04-20,False,Contact Agent
3668,199700,2020-12-16,True,Reported
4611,52724,2020-08-21,True,Contact Agent
5777,50239,2020-05-02,True,Shortlisted
8031,56241,2022-10-26,True,Contact Agent
4532,23381,2022-10-11,False,Contact Agent
9430,39643,2024-10-26,False,Contact Agent
2563,132243,2024-01-28,False,Contact Agent
2550,50333,2021-09-12,True,Shortlisted
3339,183369,2024-11-12,False,Reported
947,8929,2020-11-01,True,Contact Agent
1517,167881,2021-11-06,True,Contact Agent
6700,80186,2024-02-26,False,Reported
1729,177034,2021-06-07,False,Contact Agent
2771,183027,2023-05-02,True,Contact Agent
9826,142737,2021-03-24,True,Shortlisted
7267,175830,2020-09-23,True,Contact Agent
1591,123044,2024-04-05,True,Contact Agent
7929,10777,2020-10-03,False,Reported
8294,112157,2025-03-21,False,Shortlisted
1450,31721,2025-01-20,True,Contact Agent
2316,69898,2022-07-07,False,Shortlisted
2273,70695,2021-07-20,True,Reported
2487,89873,2020-07-30,True,Reported
288,39493,2023-12-29,False,Shortlisted
1485,180738,2020-02-03,False,Contact Agent
3781,76947,2023-06-13,True,Shortlisted
6715,9258,2024-06-29,False,Shortlisted
9041,33240,2023-06-01,True,Contact Agent
2961,147318,2025-01-30,False,Shortlisted
9635,118495,2020-06-04,False,Reported
3626,57552,2023-06-30,False,Contact Agent
1414,70122,2024-09-20,True,Shortlisted
9172,22557,2021-10-11,False,Shortlisted
658,115410,2024-04-01,False,Shortlisted
9801,113775,2020-06-13,True,Shortlisted
3409,154044,2021-06-28,False,Reported
8012,69954,2024-08-27,False,Reported
5066,123120,2020-03-07,True,Contact Agent
9224,146926,2024-06-26,False,Contact Agent
3346,138770,2020-05-07,False,Shortlisted
2937,160404,2023-05-13,False,Reported
8357,18778,2023-04-28,True,Shortlisted
9437,51386,2023-08-20,False,Contact Agent
7913,153655,2023-10-10,False,Contact Agent
6181,162924,2023-09-06,False,Contact Agent
1882,131924,2020-11-16,False,Reported
7289,135729,2024-10-17,False,Reported
7295,190963,2024-08-16,True,Shortlisted
6999,127445,2023-09-08,True,Contact Agent
5161,59717,2023-05-20,True,Contact Agent
6642,120274,2022-11-11,True,Shortlisted
1958,194943,2021-08-22,False,Contact Agent
6185,175953,2021-10-05,True,Shortlisted
2658,156850,2020-05-12,False,Contact Agent
7800,42104,2022-08-12,True,Contact Agent
5061,4999,2023-12-24,True,Contact Agent
2992,122613,2023-10-10,True,Contact Agent
4415,58115,2020-12-24,True,Shortlisted
4329,115692,2023-01-22,True,Contact Agent
4472,130022,2023-03-14,False,Reported
7946,166115,2025-03-24,True,Contact Agent
7622,23002,2024-06-30,False,Contact Agent
836,104078,2023-01-02,True,Shortlisted
3865,8958,2024-04-25,True,Contact Agent
1205,118167,2022-09-21,False,Contact Agent
379,42475,2022-10-08,False,Contact Agent
9277,155453,2020-09-22,False,Contact Agent
5293,140997,2024-11-08,False,Contact Agent
9177,34267,2024-04-23,False,Contact Agent
7361,23123,2020-04-18,True,Contact Agent
6273,96308,2020-10-25,True,Contact Agent
9186,35889,2020-01-09,False,Shortlisted
